baklava_name,baklava_size,baklava_price_euro,baklava_image_url,baklava_image_path,premium,tin
Pistachio Padishah,L,45.96,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-padisah-l-kutu-85f5-1.jpg,imagefolder/fistikli-padisah-l-kutu-85f5-1.jpg,Not Premium,Not Tin
Pistachio Padishah,XL,59.75,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-padisah-xl-kutu-1-79f1.jpg,imagefolder/fistikli-padisah-xl-kutu-1-79f1.jpg,Not Premium,Not Tin
HM1864 Mixed Special,L,40.07,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/hm1864-karisik-kutu-xl-2ff098.jpg,imagefolder/hm1864-karisik-kutu-xl-2ff098.jpg,Not Premium,Tin
Carrot Slice Baklava,XL,39.07,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/carrot-slice-baklava-xl-box-654-e8.jpg,imagefolder/carrot-slice-baklava-xl-box-654-e8.jpg,Not Premium,Not Tin
Pistachio Ankara Baklava,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-ankara-s-kutu-9a5-44.jpg,imagefolder/fistikli-ankara-s-kutu-9a5-44.jpg,Premium,Tin
Baklava Assortment,S,22.98,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-baklava-s-kutu-7fffc1.jpg,imagefolder/karisik-baklava-s-kutu-7fffc1.jpg,Not Premium,Not Tin
Walnut Baklava Assortment,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-cevizli-baklava-s-kutu-8-5f2a.jpg,imagefolder/karisik-cevizli-baklava-s-kutu-8-5f2a.jpg,Not Premium,Not Tin
Walnut Padishah Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-padisah-s-kutu-14a682.jpg,imagefolder/cevizli-padisah-s-kutu-14a682.jpg,Not Premium,Not Tin
Walnut Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-baklava-s-kutu--35f4-.jpg,imagefolder/cevizli-baklava-s-kutu--35f4-.jpg,Not Premium,Not Tin
Palace Baklava Pistachio Filling,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-saray-sarma-s-kutu-7ac924.jpg,imagefolder/fistikli-saray-sarma-s-kutu-7ac924.jpg,Not Premium,Not Tin
Palace Baklava Walnut Filling,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-saray-sarma-s-kutu--3278-.jpg,imagefolder/cevizli-saray-sarma-s-kutu--3278-.jpg,Not Premium,Not Tin
Pistachio Princess,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-prenses-s-kutu-71-41e.jpg,imagefolder/fistikli-prenses-s-kutu-71-41e.jpg,Not Premium,Not Tin
Pistachio Padishah,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-padisah-s-kutu-5-8500.jpg,imagefolder/fistikli-padisah-s-kutu-5-8500.jpg,Not Premium,Not Tin
Pistachio Twister Baklava,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/kivrim-fistikli-s-kutu-00-6ef.png,imagefolder/kivrim-fistikli-s-kutu-00-6ef.png,Not Premium,Not Tin
Pistachio Roll,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-durum-s-kutu-a2-4d6.jpg,imagefolder/fistikli-durum-s-kutu-a2-4d6.jpg,Not Premium,Not Tin
Yellow Twist Walnut Baklava,XL,45.96,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-sari-burma-xl-kutu-42310a.jpg,imagefolder/cevizli-sari-burma-xl-kutu-42310a.jpg,Not Premium,Not Tin
Walnut House Baklava,S,18.39,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-ev-baklava-s-kutu-42a1-a.jpg,imagefolder/cevizli-ev-baklava-s-kutu-42a1-a.jpg,Not Premium,Not Tin
Walnut Twister Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-kivrim-s-kutu-92ac-2.jpg,imagefolder/cevizli-kivrim-s-kutu-92ac-2.jpg,Not Premium,Not Tin
Chocolate Pistachio Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cikolatali-fistikli-baklava-s-kutu-72d244.jpg,imagefolder/cikolatali-fistikli-baklava-s-kutu-72d244.jpg,Not Premium,Not Tin
Walnut Roll Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-durum-baklava-s-kutu-36f-e2.jpg,imagefolder/cevizli-durum-baklava-s-kutu-36f-e2.jpg,Not Premium,Not Tin
Walnut Yellow Twist,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-sari-burma-s-kutu-46ca-b.jpg,imagefolder/cevizli-sari-burma-s-kutu-46ca-b.jpg,Not Premium,Not Tin
Pistachio Twist Kadayıf,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-burma-kadayif-s-kutu-3-a05e.jpg,imagefolder/fistikli-burma-kadayif-s-kutu-3-a05e.jpg,Not Premium,Not Tin
Carrot Slice Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/havuc-dilimi-baklava-s-kutu-aa-ae0.jpg,imagefolder/havuc-dilimi-baklava-s-kutu-aa-ae0.jpg,Not Premium,Not Tin
Pistachio Belle Kiss Baklava,S,28.73,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-dilber-dudagi-s-kutu-2ad-ef.jpg,imagefolder/fistikli-dilber-dudagi-s-kutu-2ad-ef.jpg,Not Premium,Not Tin
Dry Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/kuru-baklava-s-kutu-5a59af.jpg,imagefolder/kuru-baklava-s-kutu-5a59af.jpg,Not Premium,Not Tin
Ankara Walnut Baklava,S,21.83,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-ankara-s-kutu-3ec199.jpg,imagefolder/cevizli-ankara-s-kutu-3ec199.jpg,Premium,Not Tin
Walnut Square Baklava,XL,40.22,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-kare-baklava-s-kutu-c-886b.jpg,imagefolder/cevizli-kare-baklava-s-kutu-c-886b.jpg,Not Premium,Not Tin
Mixed Ottoman Kadayif,L,51.71,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-osmanli-kadayifi-l-kutu-dce-07.jpg,imagefolder/karisik-osmanli-kadayifi-l-kutu-dce-07.jpg,Not Premium,Not Tin
Fıstıklı Osmanlı Kadayıfı,L,51.71,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-osmanli-kadayifi-l-kutu--cd59-.jpg,imagefolder/fistikli-osmanli-kadayifi-l-kutu--cd59-.jpg,Not Premium,Not Tin
Sütlü Osmanlı Kadayıfı,L,51.71,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/sutlu-osmanli-kadayifi-l-kutu-a292db.jpg,imagefolder/sutlu-osmanli-kadayifi-l-kutu-a292db.jpg,Not Premium,Not Tin
Pomenegrade Ottoman Kadayif,L,51.71,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/narli-osmanli-kadayifi-l-kutu-f4-be5.jpg,imagefolder/narli-osmanli-kadayifi-l-kutu-f4-be5.jpg,Not Premium,Not Tin
Mixed Ottoman Kadayif,S,32.17,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-osmanli-kadayifi-s-kutu-b9-a42.jpg,imagefolder/karisik-osmanli-kadayifi-s-kutu-b9-a42.jpg,Not Premium,Not Tin
Ottoman Pomenegrade Kadayıf,S,32.17,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/narli-osmanli-kadayifi-s-kutu-2f5-f2.jpg,imagefolder/narli-osmanli-kadayifi-s-kutu-2f5-f2.jpg,Not Premium,Not Tin
Milky Ottoman Kadayif,S,32.17,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/sutlu-osmanli-kadayifi-s-beffd4.jpg,imagefolder/sutlu-osmanli-kadayifi-s-beffd4.jpg,Not Premium,Not Tin
Mixed Ottoman Kadayif,500 Gr,14.94,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/karisik-osmanli-kadayifi-500-gr-9cf76e.jpg,imagefolder/karisik-osmanli-kadayifi-500-gr-9cf76e.jpg,Not Premium,Not Tin
Fıstıklı Osmanlı Kadayıfı,S,32.17,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-osmanli-kadayifi-s-kutu--d2aa-.jpg,imagefolder/fistikli-osmanli-kadayifi-s-kutu--d2aa-.jpg,Not Premium,Not Tin
Pistachio Halep Kadayif,1 Kg,22.98,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-halep-kadayifi-s-kutu-2d-507.jpg,imagefolder/fistikli-halep-kadayifi-s-kutu-2d-507.jpg,Not Premium,Not Tin
Halep Turkish Kadayif With Pistachio,L,40.22,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-halep-l-kutu--c66e-4.jpg,imagefolder/fistikli-halep-l-kutu--c66e-4.jpg,Not Premium,Not Tin
"Baklava, Halep Kadayif with Pistachio",L,51.71,https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-halep-xl-kutu--1ccf2e.jpg,imagefolder/fistikli-halep-xl-kutu--1ccf2e.jpg,Not Premium,Not Tin
