baklava_name,baklava_size,baklava_price,baklava_image_url
Palace Baklava Walnut Filling ,S Box),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-saray-sarma-s-kutu--3278-.jpg
Pistachio Princess ,S Box),"
€28,73
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-prenses-s-kutu-71-41e.jpg
Pistachio Padishah ,S Box),"
€28,73
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-padisah-s-kutu-5-8500.jpg
Pistachio Twister Baklava ,S Box),"
€28,73
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/kivrim-fistikli-s-kutu-00-6ef.png
Pistachio Roll ,S Box),"
€28,73
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-durum-s-kutu-a2-4d6.jpg
Yellow Twist Walnut Baklava ,XL Box),"
€45,96
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-sari-burma-xl-kutu-42310a.jpg
Walnut House Baklava ,S Box),"
€18,39
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-ev-baklava-s-kutu-42a1-a.jpg
Walnut Twister Baklava ,S Box),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-kivrim-s-kutu-92ac-2.jpg
Chocolate Pistachio Baklava ,S Kutu),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cikolatali-fistikli-baklava-s-kutu-72d244.jpg
Walnut Roll Baklava ,S Box),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-durum-baklava-s-kutu-36f-e2.jpg
Walnut Yellow Twist ,S Box),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/cevizli-sari-burma-s-kutu-46ca-b.jpg
Pistachio Twist Kadayıf ,S Box),"
€28,73
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/fistikli-burma-kadayif-s-kutu-3-a05e.jpg
Carrot Slice Baklava ,S Box),"
€21,83
",https://online.hafizmustafa.com/Uploads/UrunResimleri/thumb/havuc-dilimi-baklava-s-kutu-aa-ae0.jpg
